Ticker,Date,Open,Close
UAL,2024-10-07,59,59.18
GGAL,2024-10-08,42.62,44.18
NVDA,2024-10-08,130.26,132.89
AAPL,2024-10-08,224.3,225.77
AMZN,2024-10-08,181.915,182.72
META,2024-10-08,589.69,592.89
CRESY,2024-10-08,8.87,9.04
AVGO,2024-10-08,175.42,180.73
APP,2024-10-08,141.37,143.51
MU,2024-10-08,102.18,102.54
ADI,2024-10-08,226.74,229.4
INTC,2024-10-08,22.25,23.32
MELI,2024-10-08,1963.05,2014.23
FANG,2024-10-08,196.12,193.77
MNST,2024-10-08,49.24,49.49
AEP,2024-10-08,98.08,98.2
PAYX,2024-10-08,138,138.16
DDOG,2024-10-08,123.74,123.72
FITB,2024-10-08,42.16,41.99
ALNY,2024-10-08,266,271.19
UAL,2024-10-08,59.68,60.01
GGAL,2024-10-09,43.66,46.58
NVDA,2024-10-09,134.11,132.65
AAPL,2024-10-09,225.23,229.54
AMZN,2024-10-09,182.82,185.17
META,2024-10-09,593.99,590.51
CRESY,2024-10-09,9.05,9.33
AVGO,2024-10-09,179.24,185.95
APP,2024-10-09,142.96,143.4
MU,2024-10-09,102.25,101.7
ADI,2024-10-09,230.4,233.24
INTC,2024-10-09,23.25,23.46
MELI,2024-10-09,2007.7,2047.99
FANG,2024-10-09,192.38,193.75
MNST,2024-10-09,49.62,49.77
AEP,2024-10-09,98.04,97.72
PAYX,2024-10-09,138.23,139.84
DDOG,2024-10-09,123.8,125.16
FITB,2024-10-09,42.03,42.63
ALNY,2024-10-09,272,270.9
UAL,2024-10-09,60.4,59.43
GGAL,2024-10-10,46.63,47.94
NVDA,2024-10-10,131.91,134.81
AAPL,2024-10-10,227.78,229.04
AMZN,2024-10-10,187.13,186.65
META,2024-10-10,587.57,583.83
CRESY,2024-10-10,9.26,9.56
AVGO,2024-10-10,183.56,185.69
APP,2024-10-10,141.59,144.84
MU,2024-10-10,101.37,105.69
ADI,2024-10-10,229.7,230.7
INTC,2024-10-10,23.19,23.22
MELI,2024-10-10,2044,2040.5
FANG,2024-10-10,194.7,194.06
MNST,2024-10-10,50,50.77
AEP,2024-10-10,97.73,97.22
PAYX,2024-10-10,139.39,139.29
DDOG,2024-10-10,125.24,130.09
FITB,2024-10-10,42.4,42.67
ALNY,2024-10-10,270.5,278.62
UAL,2024-10-10,58.43,60.26
GGAL,2024-10-11,47.94,49.77
NVDA,2024-10-11,134.01,134.8
AAPL,2024-10-11,229.3,227.55
AMZN,2024-10-11,186.63,188.82
META,2024-10-11,584.83,589.95
CRESY,2024-10-11,9.47,9.5
AVGO,2024-10-11,181.14,181.48
APP,2024-10-11,144.84,147
MU,2024-10-11,105.04,106.92
ADI,2024-10-11,229.32,232.86
INTC,2024-10-11,23.05,23.56
MELI,2024-10-11,2058.21,2091.16
FANG,2024-10-11,192.66,194.96
MNST,2024-10-11,50.82,51.31
AEP,2024-10-11,97.3,98.25
PAYX,2024-10-11,139.99,138.89
DDOG,2024-10-11,129.89,129.81
FITB,2024-10-11,43,43.84
ALNY,2024-10-11,278.8,284.32
UAL,2024-10-11,60,61.8
GGAL,2024-10-14,50,49.44
NVDA,2024-10-14,136.47,138.07
AAPL,2024-10-14,228.7,231.3
AMZN,2024-10-14,189.78,187.54
META,2024-10-14,594.22,590.42
CRESY,2024-10-14,9.5,9.51
AVGO,2024-10-14,183.3,182.31
APP,2024-10-14,141.27,145.3
MU,2024-10-14,107.805,108.34
ADI,2024-10-14,233.8,236.43
INTC,2024-10-14,23.58,23.44
MELI,2024-10-14,2091.82,2079.96
FANG,2024-10-14,192.42,190.7
MNST,2024-10-14,51.59,51.68
AEP,2024-10-14,98.35,98.79
PAYX,2024-10-14,139.1,142.35
DDOG,2024-10-14,131.28,129.12
FITB,2024-10-14,43.74,44.32
ALNY,2024-10-14,284.09,283.32
UAL,2024-10-14,62.33,63.53
GGAL,2024-10-15,49.62,49.65
NVDA,2024-10-15,137.87,131.6
AAPL,2024-10-15,233.61,233.85
AMZN,2024-10-15,187.63,187.69
META,2024-10-15,590.16,586.27
CRESY,2024-10-15,9.54,9.34
AVGO,2024-10-15,180.79,175.98
APP,2024-10-15,144.63,143.81
MU,2024-10-15,107.86,104.32
ADI,2024-10-15,236.01,225.87
INTC,2024-10-15,23.41,22.66
MELI,2024-10-15,2075.48,2033.62
FANG,2024-10-15,183.66,179.77
MNST,2024-10-15,51.57,52.62
AEP,2024-10-15,99.37,99.66
PAYX,2024-10-15,142.35,142.3
DDOG,2024-10-15,128.47,126.88
FITB,2024-10-15,44.7,44.65
ALNY,2024-10-15,284.85,287.36
UAL,2024-10-15,64.18,64.05
GGAL,2024-10-16,50.16,48.84
NVDA,2024-10-16,133.98,135.72
AAPL,2024-10-16,231.6,231.78
AMZN,2024-10-16,187.05,186.89
META,2024-10-16,581.395,576.79
CRESY,2024-10-16,9.46,8.9
AVGO,2024-10-16,178.51,176.82
APP,2024-10-16,144.12,144.85
MU,2024-10-16,106.02,109.24
ADI,2024-10-16,228.85,227.49
INTC,2024-10-16,22.38,22.31
MELI,2024-10-16,2029.32,2046.47
FANG,2024-10-16,180.22,182.46
MNST,2024-10-16,52.48,53.58
AEP,2024-10-16,100.1,101.32
PAYX,2024-10-16,142,142.28
DDOG,2024-10-16,126.43,126
FITB,2024-10-16,44.97,44.98
ALNY,2024-10-16,286.39,300.55
UAL,2024-10-16,65.4,72.015
GGAL,2024-10-17,48.84,48.82
NVDA,2024-10-17,139.34,136.93
AAPL,2024-10-17,233.43,232.15
AMZN,2024-10-17,188.22,187.53
META,2024-10-17,583.33,576.93
CRESY,2024-10-17,8.99,9.06
AVGO,2024-10-17,181.37,181.53
APP,2024-10-17,146.31,143
MU,2024-10-17,111.34,112.05
ADI,2024-10-17,232.52,227.34
INTC,2024-10-17,22.72,22.44
MELI,2024-10-17,2066.85,2065.87
FANG,2024-10-17,182.07,183.96
MNST,2024-10-17,53.7,53.44
AEP,2024-10-17,101.75,100.91
PAYX,2024-10-17,143.02,142.32
DDOG,2024-10-17,127.33,126.22
FITB,2024-10-17,45.2,45.37
ALNY,2024-10-17,299.15,296.75
UAL,2024-10-17,72,73.33
GGAL,2024-10-18,49.06,50.62
NVDA,2024-10-18,138.665,138
AAPL,2024-10-18,236.18,235
AMZN,2024-10-18,187.15,188.99
META,2024-10-18,581.1,576.47
CRESY,2024-10-18,9.09,8.95
AVGO,2024-10-18,182.32,179.89
APP,2024-10-18,144.15,145.22
MU,2024-10-18,111.75,111.15
ADI,2024-10-18,229.17,228.33
INTC,2024-10-18,22.61,22.77
MELI,2024-10-18,2065.87,2079.79
FANG,2024-10-18,183.44,183.99
MNST,2024-10-18,53.44,54.05
AEP,2024-10-18,100.83,100.69
PAYX,2024-10-18,142.34,141.53
DDOG,2024-10-18,129,128.12
FITB,2024-10-18,45.71,44.67
ALNY,2024-10-18,296.01,295.93
UAL,2024-10-18,73.87,74.15
GGAL,2024-10-21,50.1,50.63
NVDA,2024-10-21,138.13,143.71
AAPL,2024-10-21,234.45,236.48
AMZN,2024-10-21,188.05,189.07
META,2024-10-21,576.03,575.16
CRESY,2024-10-21,8.9,8.89
AVGO,2024-10-21,179.38,179.99
APP,2024-10-21,148.27,158.85
MU,2024-10-21,111.1,109.08
ADI,2024-10-21,226.3,225.67
INTC,2024-10-21,22.61,22.84
MELI,2024-10-21,2065,2100.58
FANG,2024-10-21,185.26,182.41
MNST,2024-10-21,54.06,53.77
AEP,2024-10-21,100.78,100.16
PAYX,2024-10-21,141.68,141.09
DDOG,2024-10-21,126.12,125.81
FITB,2024-10-21,44.71,43.37
ALNY,2024-10-21,294.33,292.01
UAL,2024-10-21,73.25,74
GGAL,2024-10-22,50.6,50.54
NVDA,2024-10-22,142.91,143.59
AAPL,2024-10-22,233.885,235.86
AMZN,2024-10-22,188.35,189.7
META,2024-10-22,574.29,582.01
CRESY,2024-10-22,8.84,8.84
AVGO,2024-10-22,178.66,179.38
APP,2024-10-22,161.27,158.95
MU,2024-10-22,108.24,107.82
ADI,2024-10-22,224.44,224.62
INTC,2024-10-22,22.73,22.4
MELI,2024-10-22,2077.92,2067.82
FANG,2024-10-22,184.22,184.03
MNST,2024-10-22,53.73,53.6
AEP,2024-10-22,99.67,99.89
PAYX,2024-10-22,140.47,141.34
DDOG,2024-10-22,125,124.62
FITB,2024-10-22,43.73,43.66
ALNY,2024-10-22,292.1,296.48
UAL,2024-10-22,73.8,74.49
GGAL,2024-10-23,50.14,49.77
NVDA,2024-10-23,142.03,139.56
AAPL,2024-10-23,234.08,230.76
AMZN,2024-10-23,188.85,184.71
META,2024-10-23,579.97,563.69
CRESY,2024-10-23,8.81,8.85
AVGO,2024-10-23,177.585,173.51
APP,2024-10-23,160.16,159.4
MU,2024-10-23,106.564,105.05
ADI,2024-10-23,228.08,226.85
INTC,2024-10-23,22.3,21.98
MELI,2024-10-23,2062.29,2038.7
FANG,2024-10-23,182.34,181.12
MNST,2024-10-23,53.47,53.56
AEP,2024-10-23,100,100.83
PAYX,2024-10-23,140.47,141.43
DDOG,2024-10-23,124.62,121.52
FITB,2024-10-23,43.52,43.87
ALNY,2024-10-23,296.48,294.87
UAL,2024-10-23,73.87,73.45
GGAL,2024-10-24,50.03,52.93
NVDA,2024-10-24,140.82,140.41
AAPL,2024-10-24,229.98,230.57
AMZN,2024-10-24,185.25,186.38
META,2024-10-24,567.125,567.78
CRESY,2024-10-24,9.13,9.27
AVGO,2024-10-24,174.26,171.35
APP,2024-10-24,160.56,159
MU,2024-10-24,106.775,106.85
ADI,2024-10-24,228.74,229.68
INTC,2024-10-24,22.09,22.34
MELI,2024-10-24,2038.7,2055.93
FANG,2024-10-24,182.35,180.91
MNST,2024-10-24,53.43,53.44
AEP,2024-10-24,101.29,99.39
PAYX,2024-10-24,142,141.68
DDOG,2024-10-24,122.75,123.89
FITB,2024-10-24,43.87,44.06
ALNY,2024-10-24,293.92,293.69
UAL,2024-10-24,74.42,74.51
GGAL,2024-10-25,53.3,53.89
NVDA,2024-10-25,140.93,141.54
AAPL,2024-10-25,229.74,231.41
AMZN,2024-10-25,187.85,187.83
META,2024-10-25,573.935,573.25
CRESY,2024-10-25,9.36,9.53
AVGO,2024-10-25,174.19,173
APP,2024-10-25,161.46,161.63
MU,2024-10-25,108.34,107.91
ADI,2024-10-25,231.84,230.17
INTC,2024-10-25,22.42,22.68
MELI,2024-10-25,2053.99,2047.35
FANG,2024-10-25,182.62,184.38
MNST,2024-10-25,53.76,53.37
AEP,2024-10-25,99.79,98.19
PAYX,2024-10-25,142.35,140.33
DDOG,2024-10-25,124.9,126.6
FITB,2024-10-25,44.53,43.22
ALNY,2024-10-25,293.69,284.86
UAL,2024-10-25,74.9,74.64
GGAL,2024-10-28,54.28,54.11
NVDA,2024-10-28,143,140.52
AAPL,2024-10-28,233.32,233.4
AMZN,2024-10-28,189.565,188.39
META,2024-10-28,582,578.16
CRESY,2024-10-28,9.55,9.32
AVGO,2024-10-28,173,172.02
APP,2024-10-28,163.31,166.185
MU,2024-10-28,106.78,106.39
ADI,2024-10-28,229.13,230.14
INTC,2024-10-28,22.67,22.92
MELI,2024-10-28,2056,2056.09
FANG,2024-10-28,177.765,178.19
MNST,2024-10-28,53.44,53.1
AEP,2024-10-28,98.85,99.11
PAYX,2024-10-28,140.09,140.27
DDOG,2024-10-28,127.29,126.37
FITB,2024-10-28,43.71,44.05
ALNY,2024-10-28,288.35,286.91
UAL,2024-10-28,76.58,76.09
GGAL,2024-10-29,54.11,53.53
NVDA,2024-10-29,140.285,141.25
AAPL,2024-10-29,233.1,233.67
AMZN,2024-10-29,188.58,190.83
META,2024-10-29,580.145,593.28
CRESY,2024-10-29,9.32,9.71
AVGO,2024-10-29,172.435,179.24
APP,2024-10-29,167.98,172.24
MU,2024-10-29,106.585,108.18
ADI,2024-10-29,229.7,235.23
INTC,2024-10-29,22.87,22.9
MELI,2024-10-29,2058.24,2026.57
FANG,2024-10-29,177.76,175.64
MNST,2024-10-29,52.7,52.48
AEP,2024-10-29,98.73,97.39
PAYX,2024-10-29,140.03,141.87
DDOG,2024-10-29,127.2,128.76
FITB,2024-10-29,44.03,44.005
ALNY,2024-10-29,285.93,284.69
UAL,2024-10-29,75.39,76.93
GGAL,2024-10-30,53.51,52.26
NVDA,2024-10-30,139.54,139.335
AAPL,2024-10-30,232.61,230.1
AMZN,2024-10-30,194.695,192.73
META,2024-10-30,600.98,591.8
CRESY,2024-10-30,9.77,9.65
AVGO,2024-10-30,177.47,176.64
APP,2024-10-30,173.22,171.65
MU,2024-10-30,106.26,104.08
ADI,2024-10-30,230.78,230.12
INTC,2024-10-30,22.415,22.3
MELI,2024-10-30,2015.33,2020.72
FANG,2024-10-30,176.86,176.65
MNST,2024-10-30,52.25,52.6
AEP,2024-10-30,97.39,97.4
PAYX,2024-10-30,141.5,141.39
DDOG,2024-10-30,129.82,128.16
FITB,2024-10-30,43.75,44.08
ALNY,2024-10-30,284.1,281.49
UAL,2024-10-30,76.67,80.42
GGAL,2024-10-31,51.71,52.72
NVDA,2024-10-31,137.6,132.76
AAPL,2024-10-31,229.34,225.91
AMZN,2024-10-31,190.51,186.4
META,2024-10-31,585,567.58
CRESY,2024-10-31,9.69,9.49
AVGO,2024-10-31,174.45,169.77
APP,2024-10-31,170,169.39
MU,2024-10-31,102.2,99.65
ADI,2024-10-31,230.16,223.11
INTC,2024-10-31,22.15,21.52
MELI,2024-10-31,2015.25,2037.18
FANG,2024-10-31,178.35,176.77
MNST,2024-10-31,52.65,52.68
AEP,2024-10-31,97.45,98.75
PAYX,2024-10-31,141.53,139.33
DDOG,2024-10-31,126.25,125.44
FITB,2024-10-31,44.14,43.68
ALNY,2024-10-31,275.41,266.59
UAL,2024-10-31,79.7,78.26
ANSS,2024-10-01,318,313.05
ILMN,2024-10-01,130.18,128.98
ERIE,2024-10-01,539.16,539.27
ICLR,2024-10-01,287.31,284.51
TRMB,2024-10-01,61.8,60.79
SOFI,2024-10-01,7.88,7.63
TER,2024-10-01,132.8,128.99
TRMD,2024-10-01,32.35,32.44
SFM,2024-10-01,110.2,110.97
MBLY,2024-10-01,13.79,13.44
BSY,2024-10-01,51,49.78
LINE,2024-10-01,78.57,76.73
PPC,2024-10-01,45.99,48.12
FSV,2024-10-01,183.2,182.31
LECO,2024-10-01,192.02,189.69
FUTU,2024-10-01,96.05,107.54
TEM,2024-10-01,56.71,53.07
WING,2024-10-01,417.3,420.89
MKTX,2024-10-01,255.74,255.85
ANSS,2024-10-02,312.64,317.45
EXE,2024-10-02,83.35,83.24
ILMN,2024-10-02,127.86,139.02
ERIE,2024-10-02,540.38,541.43
ICLR,2024-10-02,284.51,294.39
TRMB,2024-10-02,60.76,62.48
SOFI,2024-10-02,7.6,7.79
TER,2024-10-02,129.68,131.44
TRMD,2024-10-02,33.02,33.02
SFM,2024-10-02,110.37,110.69
MBLY,2024-10-02,12.88,13.28
BSY,2024-10-02,49.72,49.89
LINE,2024-10-02,76.46,75.92
PPC,2024-10-02,48.29,47.86
FSV,2024-10-02,181.22,180.91
LECO,2024-10-02,189.85,192.08
FUTU,2024-10-02,118.67,112.85
TEM,2024-10-02,52.5,51.25
WING,2024-10-02,419,422.95
MKTX,2024-10-02,255.55,254.92
ANSS,2024-10-03,314.61,313.09
EXE,2024-10-03,83.38,85.21
ILMN,2024-10-03,138.21,136.36
ERIE,2024-10-03,541.6,535.67
ICLR,2024-10-03,293.91,293.18
TRMB,2024-10-03,62.07,61.59
SOFI,2024-10-03,7.75,7.83
TER,2024-10-03,129.65,129.01
TRMD,2024-10-03,33.11,33.22
SFM,2024-10-03,110.69,111.04
MBLY,2024-10-03,13.13,12.39
BSY,2024-10-03,49.72,49.33
LINE,2024-10-03,75.86,76.75
PPC,2024-10-03,47.83,43.57
FSV,2024-10-03,179.89,178.19
LECO,2024-10-03,190.14,189.54
FUTU,2024-10-03,108.295,122.79
TEM,2024-10-03,52.35,48.96
WING,2024-10-03,422.84,414.13
MKTX,2024-10-03,256.32,273.94
ANSS,2024-10-04,317.96,315.73
EXE,2024-10-04,84.935,85.63
ILMN,2024-10-04,138.73,141.43
ERIE,2024-10-04,535.46,542.86
ICLR,2024-10-04,294.86,293.54
TRMB,2024-10-04,62.48,62.14
SOFI,2024-10-04,8.03,8.39
TER,2024-10-04,132,130.5
TRMD,2024-10-04,32.91,32.92
SFM,2024-10-04,111.95,112.9
MBLY,2024-10-04,12.58,12.93
BSY,2024-10-04,50.04,48.88
LINE,2024-10-04,77.38,76.87
PPC,2024-10-04,43.59,44.6
FSV,2024-10-04,178.68,177.04
LECO,2024-10-04,192.71,191.5
FUTU,2024-10-04,124.27,127.98
TEM,2024-10-04,50.38,52.94
WING,2024-10-04,415.65,414.99
MKTX,2024-10-04,275.27,273.65
ANSS,2024-10-07,313.61,313.07
EXE,2024-10-07,85.82,85.44
ILMN,2024-10-07,140.75,140.66
ERIE,2024-10-07,541.64,521.98
ICLR,2024-10-07,291.94,290.37
TRMB,2024-10-07,61.97,61.51
SOFI,2024-10-07,8.36,8.27
TER,2024-10-07,129.33,129.51
TRMD,2024-10-07,32.78,32.75
SFM,2024-10-07,112.73,113.07
MBLY,2024-10-07,12.28,12.33
BSY,2024-10-07,48.72,47.75
LINE,2024-10-07,76.58,75.07
PPC,2024-10-07,44.68,45.51
FSV,2024-10-07,176.74,176.17
LECO,2024-10-07,190.15,191.04
FUTU,2024-10-07,129.97,128.93
TEM,2024-10-07,53,50.55
WING,2024-10-07,413.48,396.08
MKTX,2024-10-07,275.33,273.76
ANSS,2024-10-08,314.24,320.87
EXE,2024-10-08,84.48,86
ILMN,2024-10-08,140.66,139.66
ERIE,2024-10-08,526.42,530.9
ICLR,2024-10-08,290.06,287.56
TRMB,2024-10-08,61.29,61.48
SOFI,2024-10-08,8.32,8.41
TER,2024-10-08,129.77,129.4
TRMD,2024-10-08,32.61,32.34
SFM,2024-10-08,113.47,115.11
MBLY,2024-10-08,12.13,12.24
BSY,2024-10-08,48,48.45
LINE,2024-10-08,75.06,75.43
PPC,2024-10-08,45.37,46.12
FSV,2024-10-08,176.73,180.4
LECO,2024-10-08,190.18,189.48
FUTU,2024-10-08,104.9,112.08
TEM,2024-10-08,50.92,48.08
WING,2024-10-08,398.9,403.52
MKTX,2024-10-08,275.76,275.89
ANSS,2024-10-09,321.71,326.2
EXE,2024-10-09,86,87.03
ILMN,2024-10-09,139.67,140
ERIE,2024-10-09,528.69,532.6
ICLR,2024-10-09,287,292.66
TRMB,2024-10-09,61.64,62.23
SOFI,2024-10-09,8.41,8.59
TER,2024-10-09,129.14,130.47
TRMD,2024-10-09,32.04,31.92
SFM,2024-10-09,115.85,113.8
MBLY,2024-10-09,12.2,12.07
BSY,2024-10-09,48.44,48.98
LINE,2024-10-09,75.27,74.28
PPC,2024-10-09,46.12,45.61
FSV,2024-10-09,179.49,184.83
LECO,2024-10-09,189.9,191.42
FUTU,2024-10-09,105.01,110.92
TEM,2024-10-09,48.08,48.33
WING,2024-10-09,403.27,402.79
MKTX,2024-10-09,274.21,275.41
ANSS,2024-10-10,322.85,328.94
EXE,2024-10-10,87.1,86.61
ILMN,2024-10-10,139.035,143.76
ERIE,2024-10-10,531.7,529.47
ICLR,2024-10-10,290.19,296.29
TRMB,2024-10-10,62.04,61.74
SOFI,2024-10-10,8.51,8.63
TER,2024-10-10,128.48,128.94
TRMD,2024-10-10,32.13,32.12
SFM,2024-10-10,113.41,112.93
MBLY,2024-10-10,12.07,12.29
BSY,2024-10-10,48.47,50.16
LINE,2024-10-10,74.2,73.99
PPC,2024-10-10,45.66,44.77
FSV,2024-10-10,183.46,183.98
LECO,2024-10-10,189.54,189.94
FUTU,2024-10-10,109.49,107.17
TEM,2024-10-10,48.9,45.98
WING,2024-10-10,399.13,395
MKTX,2024-10-10,275.26,276.43
ANSS,2024-10-11,329.37,330.03
EXE,2024-10-11,86.1,87.39
ILMN,2024-10-11,143.74,145.54
ERIE,2024-10-11,531.44,534.7
ICLR,2024-10-11,295.4,296.65
TRMB,2024-10-11,61.72,63.01
SOFI,2024-10-11,8.65,9.01
TER,2024-10-11,128.3,131.91
TRMD,2024-10-11,31.86,31.64
SFM,2024-10-11,113.6,116.12
MBLY,2024-10-11,11.79,12.89
BSY,2024-10-11,50.12,50.65
LINE,2024-10-11,74.27,75.27
PPC,2024-10-11,44.85,44.58
FSV,2024-10-11,184.92,185.8
LECO,2024-10-11,187.87,194.33
FUTU,2024-10-11,104.07,111.02
TEM,2024-10-11,45.42,48.82
WING,2024-10-11,396.26,403.82
MKTX,2024-10-11,277.74,278.1
ANSS,2024-10-14,333.24,335.31
EXE,2024-10-14,86.89,86.62
ILMN,2024-10-14,146,149.07
ERIE,2024-10-14,536.86,533.27
ICLR,2024-10-14,295.88,296.55
TRMB,2024-10-14,62.98,63.05
SOFI,2024-10-14,9.62,10.04
TER,2024-10-14,131.68,133.64
TRMD,2024-10-14,31,31.29
SFM,2024-10-14,116.14,115.32
MBLY,2024-10-14,12.8,12.96
BSY,2024-10-14,50.82,50.97
LINE,2024-10-14,75.22,76.17
PPC,2024-10-14,44.61,45.12
FSV,2024-10-14,185.25,184.78
LECO,2024-10-14,194.33,193.57
FUTU,2024-10-14,108.63,106.35
TEM,2024-10-14,49.01,50.72
WING,2024-10-14,405.95,399.05
MKTX,2024-10-14,279.06,284.5
ANSS,2024-10-15,336.74,328.6
EXE,2024-10-15,85.2,85.79
ILMN,2024-10-15,148.74,147.61
ERIE,2024-10-15,533.27,525.65
ICLR,2024-10-15,295.42,294.87
TRMB,2024-10-15,63.09,61.72
SOFI,2024-10-15,10.16,10.18
TER,2024-10-15,133.53,127.36
TRMD,2024-10-15,30.34,30.01
SFM,2024-10-15,116,116.87
MBLY,2024-10-15,12.51,12.17
BSY,2024-10-15,50.96,49.99
LINE,2024-10-15,76.81,76.43
PPC,2024-10-15,44.94,45.27
FSV,2024-10-15,184.85,187
LECO,2024-10-15,192.34,192.2
FUTU,2024-10-15,100.98,96.21
TEM,2024-10-15,50.72,46.63
WING,2024-10-15,398.56,393.05
MKTX,2024-10-15,285.66,288.26
ANSS,2024-10-16,329.73,323.77
EXE,2024-10-16,86,86.46
ILMN,2024-10-16,147.88,143.89
ERIE,2024-10-16,525.65,513.32
ICLR,2024-10-16,294.68,293.6
TRMB,2024-10-16,61.75,61.07
SOFI,2024-10-16,10.23,10.04
TER,2024-10-16,130.88,127
TRMD,2024-10-16,29.89,30.11
SFM,2024-10-16,116.98,116.91
MBLY,2024-10-16,12.045,12.13
BSY,2024-10-16,50,49.7
LINE,2024-10-16,76.65,76.7
PPC,2024-10-16,45.45,45.56
FSV,2024-10-16,187.28,187.69
LECO,2024-10-16,193.3,194.71
FUTU,2024-10-16,97.4,95.25
TEM,2024-10-16,47.1,49.05
WING,2024-10-16,395.42,377.89
MKTX,2024-10-16,288.26,292.46
ANSS,2024-10-17,327.11,326.58
EXE,2024-10-17,86.57,87.57
ILMN,2024-10-17,146.83,143.52
ERIE,2024-10-17,516.49,483.05
ICLR,2024-10-17,293.79,295.24
TRMB,2024-10-17,61.17,61.43
SOFI,2024-10-17,10.01,9.87
TER,2024-10-17,130.19,127.21
TRMD,2024-10-17,30.09,29.9
SFM,2024-10-17,117.11,116.65
MBLY,2024-10-17,12.26,12.875
BSY,2024-10-17,50.05,50.05
LINE,2024-10-17,76.89,76.43
PPC,2024-10-17,45.41,45.44
FSV,2024-10-17,187.28,188.1
LECO,2024-10-17,195.5,198.22
FUTU,2024-10-17,90.6,89.71
TEM,2024-10-17,49.2,48.01
WING,2024-10-17,381,373.555
MKTX,2024-10-17,292.59,290.78
ANSS,2024-10-18,328.69,327.4
EXE,2024-10-18,87.025,86.66
ILMN,2024-10-18,143.52,146.07
ERIE,2024-10-18,475.93,481.68
ICLR,2024-10-18,296.13,297.72
TRMB,2024-10-18,61.62,61.77
SOFI,2024-10-18,9.91,10.18
